Fecha_Hora,Temperatura_C,Humedad_Pct,Ventilador,Bomba_Riego,Luminosidad_Lux,Iluminacion_LED
2026-05-17 09:43:32,24.25,60.85,False,False,6000.0,47.42
2026-05-17 09:43:34,23.1,60.77,False,False,6000.0,54.19
2026-05-17 09:43:36,23.07,61.55,False,False,6000.0,40.13
2026-05-17 09:43:38,22.51,61.17,False,False,6000.0,49.2
2026-05-17 09:43:40,21.11,62.48,False,False,6000.0,53.33
2026-05-17 09:43:42,19.69,64.49,False,False,6000.0,41.4
2026-05-17 09:43:44,19.03,65.7,False,False,6000.0,45.53
2026-05-17 09:43:46,18.01,66.11,False,False,6000.0,40.55
2026-05-17 09:43:48,17.36,66.48,False,False,6000.0,50.41
2026-05-17 09:43:50,16.95,67.24,False,False,6000.0,44.98
2026-05-17 09:43:53,16.87,67.09,False,False,6000.0,50.79
2026-05-17 09:43:55,16.92,67.46,False,False,6000.0,47.72
2026-05-17 09:43:57,16.76,67.7,False,False,6000.0,50.24
2026-05-17 09:43:59,16.77,68.07,False,False,6000.0,48.08
2026-05-17 09:44:01,16.54,68.66,False,False,6000.0,48.05
2026-05-17 09:44:03,16.99,68.79,False,False,6000.0,43.18
2026-05-17 09:44:05,16.93,69.26,False,False,6000.0,46.84
2026-05-17 09:44:07,16.96,69.89,False,False,6000.0,40.36
2026-05-17 09:44:09,16.8,69.93,False,False,6000.0,51.3
2026-05-17 09:44:11,16.52,69.57,False,False,6000.0,47.68
2026-05-17 09:44:14,16.96,69.66,False,False,6000.0,40.27
2026-05-17 09:44:16,16.89,70.48,False,False,6000.0,43.76
2026-05-17 09:44:18,16.35,70.29,False,False,6000.0,46.27
2026-05-17 09:44:20,16.24,70.69,False,False,6000.0,50.16
2026-05-17 09:44:22,16.2,70.42,False,False,6000.0,44.75
2026-05-17 09:44:24,16.37,71.4,False,False,6000.0,40.72
2026-05-17 09:44:26,16.07,71.02,False,False,6000.0,46.46
2026-05-17 09:44:28,17.01,71.07,False,False,6000.0,44.35
2026-05-17 09:44:30,16.3,71.24,False,False,6000.0,53.11
2026-05-17 09:44:32,16.09,71.36,False,False,6000.0,47.99
2026-05-17 09:44:34,16.78,71.31,False,False,6000.0,41.44
2026-05-17 09:44:37,17.85,69.42,False,False,6000.0,23.54
2026-05-17 09:44:39,18.66,68.27,False,False,6000.0,31.64
2026-05-17 09:44:41,20.78,63.21,False,False,12130.71,0.0
2026-05-17 09:46:47,25.74,58.37,False,False,13177.65,0.0
2026-05-17 09:47:33,25.39,60.0,False,False,6000.0,36.69
2026-05-17 09:47:35,24.59,60.02,False,False,6000.0,31.93
2026-05-17 09:47:37,24.83,60.43,False,False,6000.0,41.59
2026-05-17 09:47:39,24.63,60.68,False,False,6000.0,34.53
2026-05-17 09:47:41,25.83,62.04,False,False,6000.0,37.08
2026-05-17 09:47:43,26.27,61.65,False,False,6000.0,28.85
2026-05-17 09:47:45,27.93,61.56,False,False,6000.0,21.56
2026-05-17 09:47:47,25.43,64.12,False,False,6000.0,37.78
2026-05-17 09:47:49,24.03,62.84,False,False,6000.0,46.65
2026-05-17 09:47:52,25.22,61.29,False,False,6000.0,40.61
2026-05-17 09:47:54,27.27,61.96,False,False,6000.0,22.69
2026-05-17 09:47:56,25.2,61.05,False,False,6000.0,45.8
2026-05-17 09:47:58,27.96,59.0,False,False,6000.0,20.03
2026-05-17 09:48:00,26.99,62.83,False,False,6000.0,36.88
2026-05-17 09:48:02,26.09,62.31,False,False,6000.0,33.53
2026-05-17 09:48:04,27.8,59.64,False,False,6000.0,28.2
2026-05-17 09:48:06,28.68,61.54,True,False,6000.0,20.59
2026-05-17 09:48:08,26.02,59.88,False,False,6000.0,37.77
2026-05-17 09:48:10,25.66,60.86,False,False,6000.0,45.43
2026-05-17 09:48:13,28.08,57.73,True,False,6000.0,23.6
2026-05-17 09:48:15,26.35,60.19,False,False,6000.0,27.46
2026-05-17 09:48:17,26.94,62.1,False,False,6000.0,30.52
2026-05-17 09:48:19,24.8,62.72,False,False,6000.0,48.25
2026-05-17 09:48:21,25.92,60.12,False,False,6000.0,38.55
2026-05-17 09:48:23,26.19,61.87,False,False,6000.0,40.73
2026-05-17 09:48:25,28.45,57.71,True,False,6000.0,22.8
2026-05-17 09:48:27,50.35,63.53,True,False,6000.0,48.35
2026-05-17 09:48:29,49.81,60.03,True,False,6000.0,52.95
2026-05-17 09:48:31,49.26,64.15,True,False,6000.0,40.48
2026-05-17 09:48:34,49.99,60.39,True,False,6000.0,51.4
2026-05-17 09:48:36,50.33,63.7,True,False,6000.0,42.15
2026-05-17 09:48:38,49.25,62.97,True,False,6000.0,43.08
2026-05-17 09:48:40,50.14,62.06,True,False,6000.0,52.81
2026-05-17 09:48:42,50.42,62.48,True,False,6000.0,49.97
2026-05-17 09:48:44,49.9,62.81,True,False,6000.0,52.65
2026-05-17 09:48:46,49.72,63.91,True,False,6000.0,42.16
2026-05-17 09:48:48,49.96,61.77,True,False,6000.0,51.33
2026-05-17 09:48:50,49.9,61.11,True,False,6000.0,50.81
2026-05-17 09:48:52,50.37,62.97,True,False,6000.0,53.79
2026-05-17 09:48:55,45.91,64.97,True,False,6000.0,40.45
2026-05-17 09:48:57,50.07,64.08,True,False,6000.0,50.52
2026-05-17 09:48:59,44.68,29.17,True,True,12186.77,0.0
2026-05-17 09:49:01,43.84,31.73,True,True,11026.62,0.0
